Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
BMW,750,Germany,2019,111000,394,Automatic,Diesel,4x4,5.9,156,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,60549
Kia,Picanto,Netherlands,2023,25853,66,Manual,Petrol,4x2,4.9,113,Grey,Other interior color,Other interior material,Hatchback,4/5 doors,4,18949
Citroën,C5 Aircross,Italy,2023,14381,129,Automatic,Diesel,4x2,5.2,102,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,26549
Renault,Captur,Germany,2024,13022,138,Manual,Petrol,4x2,5.9,133,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,23099
BMW,318,Belgium,2021,52000,154,Automatic,Petrol,4x2,5.7,130,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,39699
Opel,Corsa,Germany,2024,10,99,Automatic,Petrol,4x2,4.3,99,Grey,Other interior color,Cloth interior,Hatchback,4/5 doors,5,21099
Mercedes-Benz,E 350,Germany,2018,139400,255,Automatic,Diesel,4x4,11.0,260,Black,Black interior,Other interior material,Sedans / saloons,4/5 doors,5,37699
Volkswagen,Tiguan,Netherlands,2020,58792,148,Automatic,Petrol,4x2,6.1,136,White,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,41099
Fiat,500,Germany,2023,5509,68,Manual,Petrol,4x2,4.7,88,Red,Other interior color,Cloth interior,Hatchback,2/3 doors,4,11249
Volkswagen,Tiguan,Germany,2022,93359,148,Automatic,Diesel,4x2,4.5,119,Grey,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,31299
BMW,218 Active Tourer,Netherlands,2019,68788,134,Automatic,Petrol,4x2,8.0,195,Beige,Other interior color,Cloth interior,MPV,4/5 doors,5,23149
Volkswagen,Polo,Italy,2023,24106,94,Automatic,Petrol,4x2,5.6,105,Blue,Other interior color,Other interior material,Hatchback,4/5 doors,5,18949
BMW,M2,Poland,2024,10,453,Automatic,Petrol,4x2,8.0,195,Red,Black interior,Full leather interior,Coupe,2/3 doors,4,89099
